Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Free Lunch,Isaiah Rashad,The Sun's Tirade,0.472,0.109,130.011,0.237,0.223,5.39e-05,4,0.865,11,192029,-7.359,0.843,5FX89IUKm9QJT9ymrmyK4k,0
White Silk,Action Bronson,Well Done,0.86,0.143,91.876,0.247,0.516,0,4,0.569,0,174187,-5.422,0.747,4lW95zmUEL1jBqsRjdxYGs,1
Without Me,Eminem,The Eminem Show,0.641,0.28,112.245,0.0651,0.00272,0,4,0.92,7,290120,-3.235,0.665,2YaiY5Cr8IFv0X0YRZDNzV,1
Hol' Up,Kendrick Lamar,Section.80,0.869,0.137,155.983,0.345,0.781,0,4,0.607,5,173158,-5.271,0.577,5DO1SazQppcsKQ1c1JpyQz,1
Concrete Schoolyard,Jurassic 5,J 5 (Deluxe Edition),0.638,0.388,90.114,0.359,0.146,0,4,0.895,10,321293,-7.289,0.815,2FL7ilGkBOrKVck7msHRAM,0
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,0.541,0.167,110.803,0.055,0.0224,0,4,0.681,9,227360,-8.926,0.413,6SwRhMLwNqEi6alNPVG00n,0
Dang! (feat. Anderson .Paak),Mac Miller,The Divine Feminine,0.67,0.0837,107.018,0.23,0.00826,0.000355,4,0.836,5,305350,-6.907,0.556,5iUQMwxUPdJBFeGkePtM66,0
Compliments 2 the Chef (feat. Lauriana Mae),Action Bronson,Peter Rosenberg x Ecko Present: The New York Renaissance,0.914,0.0448,81.392,0.361,0.271,0,4,0.523,11,180950,-5.026,0.636,0BgDqhzAczy4ioMfdnBRgL,1
Triangle,BadBadNotGood,III,0.944,0.0925,110.308,0.0336,0.141,0.825,4,0.359,10,227539,-4.945,0.692,1CpAjE2XuJzPSIBHUJL0v4,1
Baptized In Fire,Kid Cudi,"Passion, Pain & Demon Slayin'",0.599,0.116,152.05,0.222,0.596,0.0366,4,0.669,4,285520,-8.347,0.762,6WSBZroxQaO3FYEpT2ACFH,0
Forever (feat. Joseph Chilliams & Ravyn Lenae),Noname,Telefone,0.655,0.188,113.74,0.469,0.571,0,5,0.672,6,218627,-9.768,0.906,3cFqaY74NyS6rcitujSx2g,0
Go Gina,SZA,Ctrl,0.606,0.391,80.176,0.114,0.799,0,4,0.603,9,161613,-6.634,0.463,6Vmow8PuUaU7W1T2WWLZk2,1
The Heart Part 4,Kendrick Lamar,The Heart Part 4,0.434,0.272,129.209,0.765,0.501,0.000125,4,0.672,9,288555,-15.218,0.54,1zayuwd1YLZsYDArkruHdL,0
YAH.,Kendrick Lamar,DAMN.,0.691,0.224,69.982,0.239,0.61,0,4,0.648,1,160293,-7.935,0.622,4BHSjbYylfOH5WAGusDyni,1
Introverted,Elzhi,Lead Poison,0.919,0.1,83.829,0.373,0.0605,0,4,0.446,10,160163,-6.15,0.487,5N148m7GXzkYWymKHyPCoi,0
Summer Friends (feat. Jeremih & Francis & The Lights),Chance The Rapper,Coloring Book,0.426,0.115,144.796,0.302,0.675,1.03e-05,4,0.693,8,290316,-12.476,0.477,2fl0B0OaXjWbjHCQFx2O8W,1
Pink Matter,Frank Ocean,channel ORANGE,0.247,0.105,84.093,0.0632,0.95,0.000428,4,0.399,11,268813,-11.473,0.493,1fOkmYW3ZFkkjIdOZSf596,0
Giorgio by Moroder,Daft Punk,Random Access Memories,0.682,0.381,113.201,0.0504,0.0692,0.53,4,0.74,9,544627,-10.42,0.41,0oks4FnzhNp5QPTZtoet7c,0
Chanel,Frank Ocean,Chanel,0.503,0.112,110.134,0.237,0.874,0,4,0.776,0,210285,-5.732,0.473,6Nle9hKrkL1wQpwNfEkxjh,0
Hell Of A Life,Kanye West,My Beautiful Dark Twisted Fantasy,0.817,0.106,177.991,0.18,0.00136,0.000199,4,0.436,10,327787,-5.391,0.493,3rCNmRonlHN1TXQLcG3dSk,0
Niggaz Know,J. Cole,Born Sinner,0.687,0.103,138.046,0.174,0.0334,1.7e-06,4,0.709,10,217240,-7.394,0.327,7ncDwhSTgCZuL3OZNkvZ97,0
Central Bookings,Action Bronson,Well Done,0.937,0.368,88.115,0.318,0.112,0,4,0.721,7,202680,-6.601,0.465,3izVxkCzstcvs5AZSsIcOt,1
Tity and Dolla (feat. Hugh Augustine & Jay Rock),Isaiah Rashad,The Sun's Tirade,0.602,0.0923,124.003,0.323,0.324,1.1e-05,4,0.717,0,298035,-9.441,0.539,2NoKRHt8LVpnQMVl3TPwvu,0
Starboy,The Weeknd,Starboy,0.595,0.136,185.998,0.284,0.168,3.36e-06,4,0.675,7,230453,-7.033,0.491,7MXVkk9YMctZqd1Srtv4MB,1
Silicon Valley,Anderson .Paak,Malibu,0.451,0.382,115.21,0.194,0.302,0,4,0.545,3,244840,-9.166,0.502,6zyXhzPJg7dCGuC5ToIxqN,0
The Spark,Statik Selektah,Extended Play,0.902,0.158,163.565,0.268,0.0687,0,4,0.3,6,176970,-4.562,0.614,5Y07fzx05JjNuBmClSjN9n,1
Passionfruit,Drake,More Life,0.459,0.11,111.963,0.039,0.304,0.0862,4,0.804,11,298941,-11.556,0.372,5mCPDVBb16L4XQwDdbRUpz,1
