Track Name,Primary Artist,Album,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode
Mr. Sandman,The Chordettes,The Chordettes' Best,0.426,0.0695,110.399,0.0421,0.634,0,4,0.616,9,143613,-8.399,0.589,1T3tP6HvCgDF8ewpRqwM1e,1
Homewards,Mndsgn,Yawn Zen,0.494,0.331,95.976,0.305,0.558,0.15,3,0.415,0,151303,-11.386,0.789,51Ed5kypGZ91g1Mo0QfPkK,1
So(Rt),Knxwledge,Anthology,0.738,0.315,83.968,0.214,0.523,0.125,4,0.703,8,144165,-5.576,0.675,6FuH7pIAL70nqmg2G9uTHM,1
Better Give U Up,FKJ,Better Give U Up,0.707,0.0963,91.868,0.0963,0.194,0.0137,4,0.734,11,256957,-6.888,0.447,133JnIOh5NNCXOw6x2VJyl,0
Brooklyn's Own,Joey Bada$$,Brooklyn's Own,0.815,0.225,93.607,0.296,0.152,0,4,0.731,7,219530,-4.72,0.495,0IZurWvFvqoFBD9h6KR1vB,1
BLOOD.,Kendrick Lamar,DAMN.,0.245,0.491,157.331,0.194,0.125,0.153,4,0.353,8,118067,-16.69,0.489,1n4jwRVXdkK2U34nBDUKKT,0
5:32pm,The Deli,Vibes 2,0.186,0.0762,86.383,0.0487,0.686,0.934,4,0.691,10,136914,-13.672,0.548,7qrBYrivpvfXUPBMmqh3dA,0
4 Your Eyez Only,J. Cole,4 Your Eyez Only,0.481,0.0874,78.628,0.363,0.378,7.09e-05,4,0.704,11,530253,-10.493,0.494,1vvnYpYEMVB4aq9I6tHIEB,0
Sakura Trees,Saib,Buena Vista,0.56,0.0908,79.986,0.0354,0.204,0.197,4,0.643,0,99997,-7.295,0.521,3F0mcxksBp33QrL6oyjvLN,1
Love Is Real,Moods,Sincere - Single,0.536,0.0583,94.039,0.118,0.282,0.0749,4,0.741,9,201673,-7.299,0.532,4UvGBQU3zPO5IcagzHDIxS,1
Boredom,"Tyler, The Creator",Boredom,0.578,0.324,79.938,0.151,0.79,0.000522,4,0.559,8,320720,-9.54,0.239,4k2ix82xyGax7S8u6ODb6B,1
Smile,Nohidea,Smile,0.51,0.166,78.293,0.225,0.92,0.00237,4,0.445,0,143600,-9.421,0.717,0Q7bQszd9Lr699WS2Uo9aq,1
State of Elevation,Dillon Cooper,Kitsuné Maison Compilation 15,0.575,0.0854,93.97,0.287,0.38,0,4,0.755,8,216466,-6.76,0.712,7CquDZal3tGvTJQuJdHGzw,1
Headgames,Swarvy,Elderberry,0.812,0.157,95.035,0.223,0.0876,0.495,4,0.731,6,141441,-3.554,0.821,1qLNsPUIQnYFa9fmRh1fBa,1
Italy,Samiyam,Wish You Were Here,0.483,0.133,71.234,0.1,0.0174,0.5,4,0.315,11,143232,-10.1,0.649,0K396v9ngKrZd61ANK8zVh,0
Showdown - Instrumental,Slowy,Dialog (Instrumentals),0.355,0.122,82.046,0.138,0.633,0.00152,4,0.797,11,146307,-8.615,0.604,6MMikkxsR7ELTD1w9IKDdC,1
Damselfly,Loyle Carner,Yesterday's Gone,0.603,0.349,94.959,0.283,0.54,0.000769,4,0.764,11,172653,-7.798,0.512,32sBVB5HmrwJ6e9g0S2BRL,1
Inner Earth Vibe,Klaus Layer,Restless Adventures,0.579,0.0965,90.566,0.044,0.498,0.868,4,0.636,0,152323,-10.58,0.395,1RF162bQrFnoaeEold7N45,1
